number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,0.023928082705160548,2026-05-01 17:31:48.122609,2026-05-01 17:32:43.811126,0 days 00:00:55.688517,0.6624074561769746,0.03574712922600244,15,961,0.029375384576328288,0.8394633936788146,COMPLETE
1,0.022621256627778124,2026-05-01 17:32:43.812725,2026-05-01 17:35:06.129043,0 days 00:02:22.316318,0.608233797718321,0.012184186502221764,13,893,8.123245085588687,0.8832290311184181,COMPLETE
2,0.02538759097671037,2026-05-01 17:35:06.129637,2026-05-01 17:35:40.802923,0 days 00:00:34.673286,0.7216968971838151,0.16967533607196555,4,370,0.3752055855124282,0.6733618039413735,COMPLETE
3,0.024832100957854344,2026-05-01 17:35:40.803596,2026-05-01 17:36:31.430216,0 days 00:00:50.626620,0.7168578594140873,0.04345454109729477,13,433,0.1256277350380703,0.6557975442608167,COMPLETE
4,0.024810261279197502,2026-05-01 17:36:31.430753,2026-05-01 17:37:41.216591,0 days 00:01:09.785838,0.836965827544817,0.04717052037625178,4,828,0.013783237455007183,0.8056937753654446,COMPLETE
5,0.02511776409293027,2026-05-01 17:37:41.217140,2026-05-01 17:38:22.592248,0 days 00:00:41.375108,0.9862528132298237,0.07896186801026692,2,336,2.6619018884890564,0.9795542149013333,COMPLETE
6,0.02490008592104492,2026-05-01 17:38:22.592777,2026-05-01 17:39:22.676393,0 days 00:01:00.083616,0.6488152939379115,0.028180680291847244,14,278,0.3058656666978526,0.7760609974958406,COMPLETE
7,0.02245921792967613,2026-05-01 17:39:22.676926,2026-05-01 17:40:59.355100,0 days 00:01:36.678174,0.7246844304357644,0.011240768803005551,6,928,0.3632486956676606,0.8650089137415928,COMPLETE
8,0.025118042368993832,2026-05-01 17:40:59.355829,2026-05-01 17:41:50.014413,0 days 00:00:50.658584,0.9757995766256756,0.06420330336297862,20,348,4.83595277646595,0.9100531293444458,COMPLETE
9,0.028549296194451543,2026-05-01 17:41:50.014937,2026-05-01 17:42:30.036661,0 days 00:00:40.021724,0.6180909155642152,0.0764136186923332,2,938,0.09462175356461491,0.6783931449676581,COMPLETE
10,0.02397569712574744,2026-05-01 17:42:30.037136,2026-05-01 17:43:00.487017,0 days 00:00:30.449881,0.8548368194215873,0.2560855665994029,8,653,0.07385555886448597,0.6071847502459279,COMPLETE
11,0.02235937251828382,2026-05-01 17:43:00.488021,2026-05-01 17:43:36.836778,0 days 00:00:36.348757,0.7502061223337823,0.17751013723023668,1,547,0.9611546990709059,0.7200028069060344,COMPLETE
12,0.024396794115469196,2026-05-01 17:43:36.837266,2026-05-01 17:44:12.203131,0 days 00:00:35.365865,0.6078628901909656,0.12234582094094515,8,674,0.11679850177474882,0.6960266332554614,COMPLETE
13,0.023589000987506655,2026-05-01 17:44:12.203614,2026-05-01 17:44:47.678276,0 days 00:00:35.474662,0.7874820875551369,0.11285067746951127,4,510,0.7021298839038248,0.7382774980993067,COMPLETE
14,0.019946615958577812,2026-05-01 17:44:47.678813,2026-05-01 17:45:20.600411,0 days 00:00:32.921598,0.6750130525733469,0.2823296396917681,1,803,0.05611009097312278,0.6082906465761103,COMPLETE
15,0.02603313239684358,2026-05-01 17:45:20.600911,2026-05-01 17:45:51.496034,0 days 00:00:30.895123,0.8881104459423236,0.12012810326827862,9,234,0.24222252021885826,0.6443546202866959,COMPLETE
16,0.023967455368280963,2026-05-01 17:45:51.496492,2026-05-01 17:46:30.334215,0 days 00:00:38.837723,0.9122676071774374,0.08458198863688961,10,210,0.027511228513744483,0.7500391699496534,COMPLETE
17,0.023046595428505706,2026-05-01 17:46:30.334704,2026-05-01 17:47:31.665880,0 days 00:01:01.331176,0.9146511487079995,0.021339418816553612,17,752,0.1409444256889607,0.646992349685928,COMPLETE
18,0.02581610557274378,2026-05-01 17:47:31.666421,2026-05-01 17:48:01.852282,0 days 00:00:30.185861,0.9044243675990948,0.12318230763888235,10,481,2.1109150214280654,0.7037710236023234,COMPLETE
19,0.024884070907474683,2026-05-01 17:48:01.852793,2026-05-01 17:48:43.341802,0 days 00:00:41.489009,0.8039886713915195,0.06473145739970196,7,628,0.19335685191570673,0.6292385454901671,COMPLETE
20,0.022088731223654574,2026-05-01 17:48:43.342271,2026-05-01 17:49:12.000627,0 days 00:00:28.658356,0.9482512004607759,0.18855993906474883,11,725,0.8540123187128028,0.6836616425040085,COMPLETE
21,0.024234383122008322,2026-05-01 17:49:12.001080,2026-05-01 17:49:41.048249,0 days 00:00:29.047169,0.8783462153842704,0.11230565568578327,10,463,2.281896637294805,0.7087187448562724,COMPLETE
22,0.024808001370564853,2026-05-01 17:49:41.048719,2026-05-01 17:50:11.701071,0 days 00:00:30.652352,0.9044491033267312,0.1339516693631235,11,228,1.7314698333193985,0.7712786130108386,COMPLETE
23,0.020645412805196807,2026-05-01 17:50:11.701494,2026-05-01 17:50:56.246328,0 days 00:00:44.544834,0.9403905462674493,0.08628884358146523,6,566,0.04551504015427957,0.6514398212903041,COMPLETE
24,0.02551185051218939,2026-05-01 17:50:56.246788,2026-05-01 17:51:30.863996,0 days 00:00:34.617208,0.8191340254625733,0.14949349930594472,17,425,0.259193900314704,0.6923053589591128,COMPLETE
25,0.02442652373048369,2026-05-01 17:51:30.864467,2026-05-01 17:51:59.756530,0 days 00:00:28.892063,0.8685170330036684,0.0997146950235109,8,995,1.3678399967243764,0.7310572308609804,COMPLETE
26,0.024144520277741457,2026-05-01 17:51:59.757069,2026-05-01 17:52:25.604561,0 days 00:00:25.847492,0.769364314358433,0.2099337677596719,3,490,0.4935949167680645,0.6002212012655443,COMPLETE
27,0.023476480542943885,2026-05-01 17:52:25.605031,2026-05-01 17:53:16.490236,0 days 00:00:50.885205,0.8886359273980705,0.05723337137346107,9,287,4.3239535484478955,0.8074808904091537,COMPLETE
28,0.021984859087388488,2026-05-01 17:53:16.490757,2026-05-01 17:53:50.835321,0 days 00:00:34.344564,0.8389297122030369,0.07192194459086684,6,400,0.07768559386845207,0.6375992242962369,COMPLETE
29,0.024796352341343086,2026-05-01 17:53:50.835776,2026-05-01 17:54:54.624200,0 days 00:01:03.788424,0.9558225677864423,0.032584343587450285,12,862,0.02304952064605735,0.6700322245151864,COMPLETE
30,0.028224346320238604,2026-05-01 17:54:54.624662,2026-05-01 17:55:23.137355,0 days 00:00:28.512693,0.6627364708298777,0.22391931685675615,15,576,0.1941990577288287,0.765836702637975,COMPLETE
31,0.023296903507940878,2026-05-01 17:55:23.137857,2026-05-01 17:55:50.555707,0 days 00:00:27.417850,0.6524884483731747,0.15452767347509905,17,565,0.22076843664523146,0.7577799056955867,COMPLETE
32,0.019576685119358474,2026-05-01 17:55:50.556149,2026-05-01 17:56:18.520011,0 days 00:00:27.963862,0.6875470931720675,0.24267935455017417,15,698,0.574130933719129,0.7120392293443903,COMPLETE
33,0.02371824360646096,2026-05-01 17:56:18.520491,2026-05-01 17:56:59.245541,0 days 00:00:40.725050,0.6306455570844407,0.10075746540861177,20,600,0.14588993877566336,0.7912248717801318,COMPLETE
34,0.023695696832036813,2026-05-01 17:56:59.246088,2026-05-01 17:57:26.482642,0 days 00:00:27.236554,0.6289369602194039,0.21178132183252205,15,283,9.39578328932194,0.8311664592525168,COMPLETE
35,0.026595734378843664,2026-05-01 17:57:26.483128,2026-05-01 17:58:16.565241,0 days 00:00:50.082113,0.6941673940885464,0.04582683784019725,13,757,0.10174872699675819,0.6730375478114508,COMPLETE
36,0.023380246743132844,2026-05-01 17:58:16.565750,2026-05-01 17:59:56.699095,0 days 00:01:40.133345,0.6850999420440834,0.015010079212781365,13,905,0.08961807844825505,0.6741059855369562,COMPLETE
37,0.02575665635720477,2026-05-01 17:59:56.699547,2026-05-01 18:00:39.700679,0 days 00:00:43.001132,0.7069993804494391,0.038924571102071204,18,778,0.04415456842586549,0.6270807693319537,COMPLETE
38,0.02538768368585435,2026-05-01 18:00:39.701205,2026-05-01 18:01:41.985314,0 days 00:01:02.284109,0.631810226902473,0.04513534280748688,14,853,0.014412358711452833,0.6717212020558728,COMPLETE
39,0.023573701890096492,2026-05-01 18:01:41.985745,2026-05-01 18:03:17.514559,0 days 00:01:35.528814,0.6041393755876386,0.024672660800940698,15,951,0.17509111855306259,0.9093716412767584,COMPLETE
40,0.023089265905342608,2026-05-01 18:03:17.515048,2026-05-01 18:03:54.117252,0 days 00:00:36.602204,0.7314914037519262,0.057992823442588444,12,875,0.3542586057827238,0.9671380682357377,COMPLETE
41,0.02400921627778104,2026-05-01 18:03:54.117770,2026-05-01 18:04:44.052825,0 days 00:00:49.935055,0.6603330505464108,0.04899280719383787,13,623,0.09622646123597943,0.6574165967091025,COMPLETE
42,0.021842708687486195,2026-05-01 18:04:44.053291,2026-05-01 18:05:22.122527,0 days 00:00:38.069236,0.6393713746979437,0.14404799366460772,12,384,0.2589320636566102,0.7060752000465773,COMPLETE
43,0.02633812270698956,2026-05-01 18:05:22.123026,2026-05-01 18:05:55.415926,0 days 00:00:33.292900,0.7018212764300819,0.0942592082366596,5,809,0.41880166244590744,0.7293933152306138,COMPLETE
44,0.0222015318998166,2026-05-01 18:05:55.416427,2026-05-01 18:06:28.670388,0 days 00:00:33.253961,0.7053351756302053,0.07407986811433837,3,810,0.42222074926897396,0.7284968079016303,COMPLETE
45,0.023420443307578007,2026-05-01 18:06:28.670835,2026-05-01 18:07:14.698748,0 days 00:00:46.027913,0.679490888668883,0.08923997791267131,5,980,0.0572990799121222,0.7550016388908668,COMPLETE
46,0.02811853261249441,2026-05-01 18:07:14.699215,2026-05-01 18:08:09.128619,0 days 00:00:54.429404,0.7576483551638431,0.03449095294314497,3,918,0.1220632400619263,0.8290430384164703,COMPLETE
47,0.02456091405764587,2026-05-01 18:08:09.129057,2026-05-01 18:08:59.708133,0 days 00:00:50.579076,0.7415478030361243,0.03291944651929848,2,921,0.12271107457979354,0.8510593130332821,COMPLETE
48,0.023868372741543194,2026-05-01 18:08:59.708631,2026-05-01 18:10:08.313412,0 days 00:01:08.604781,0.7699219684246077,0.038735607099431094,2,832,0.034215785777047855,0.8214779135574948,COMPLETE
49,0.025290834244053442,2026-05-01 18:10:08.313878,2026-05-01 18:10:53.744517,0 days 00:00:45.430639,0.6954868881741989,0.026875649787515155,4,948,0.06419224073910951,0.7922412992873877,COMPLETE
